date,product_id,stock
2020-01-01,FAN_STD,204
2020-01-01,EX_FLAT,330
2020-01-01,EX_POLY,570
2020-01-01,EX_CIRC,264
2020-01-01,AF_5,600
2020-01-01,AF_75,326
2020-01-01,BL_CHOP,233
2020-01-01,BL_KIT,399
2020-01-01,BL_IND,169
2020-01-01,ESP,959
2020-01-01,SW,688
2020-01-01,MX_KIT,938
2020-01-01,MX_IND,905
2020-01-02,FAN_STD,707
2020-01-02,EX_FLAT,930
2020-01-02,EX_POLY,473
2020-01-02,EX_CIRC,825
2020-01-02,AF_5,198
2020-01-02,AF_75,339
2020-01-02,BL_CHOP,395
2020-01-02,BL_KIT,281
2020-01-02,BL_IND,507
2020-01-02,ESP,708
2020-01-02,SW,100
2020-01-02,MX_KIT,920
2020-01-02,MX_IND,951
2020-01-03,FAN_STD,874
2020-01-03,EX_FLAT,146
2020-01-03,EX_POLY,142
2020-01-03,EX_CIRC,741
2020-01-03,AF_5,905
2020-01-03,AF_75,853
2020-01-03,BL_CHOP,387
2020-01-03,BL_KIT,424
2020-01-03,BL_IND,267
2020-01-03,ESP,396
2020-01-03,SW,719
2020-01-03,MX_KIT,741
2020-01-03,MX_IND,654
2020-01-04,FAN_STD,982
2020-01-04,EX_FLAT,870
2020-01-04,EX_POLY,689
2020-01-04,EX_CIRC,469
2020-01-04,AF_5,825
2020-01-04,AF_75,810
2020-01-04,BL_CHOP,519
2020-01-04,BL_KIT,437
2020-01-04,BL_IND,708
2020-01-04,ESP,555
2020-01-04,SW,626
2020-01-04,MX_KIT,610
2020-01-04,MX_IND,706
2020-01-05,FAN_STD,351
2020-01-05,EX_FLAT,127
2020-01-05,EX_POLY,475
2020-01-05,EX_CIRC,791
2020-01-05,AF_5,809
2020-01-05,AF_75,143
2020-01-05,BL_CHOP,647
2020-01-05,BL_KIT,971
2020-01-05,BL_IND,601
2020-01-05,ESP,876
2020-01-05,SW,266
2020-01-05,MX_KIT,551
2020-01-05,MX_IND,285
2020-01-06,FAN_STD,266
2020-01-06,EX_FLAT,332
2020-01-06,EX_POLY,855
2020-01-06,EX_CIRC,796
2020-01-06,AF_5,308
2020-01-06,AF_75,854
2020-01-06,BL_CHOP,436
2020-01-06,BL_KIT,243
2020-01-06,BL_IND,824
2020-01-06,ESP,195
2020-01-06,SW,120
2020-01-06,MX_KIT,176
2020-01-06,MX_IND,456
2020-01-07,FAN_STD,350
2020-01-07,EX_FLAT,244
2020-01-07,EX_POLY,215
2020-01-07,EX_CIRC,377
2020-01-07,AF_5,648
2020-01-07,AF_75,547
2020-01-07,BL_CHOP,660
2020-01-07,BL_KIT,480
2020-01-07,BL_IND,224
2020-01-07,ESP,400
2020-01-07,SW,334
2020-01-07,MX_KIT,629
2020-01-07,MX_IND,359
2020-01-08,FAN_STD,583
2020-01-08,EX_FLAT,267
2020-01-08,EX_POLY,277
2020-01-08,EX_CIRC,798
2020-01-08,AF_5,357
2020-01-08,AF_75,680
2020-01-08,BL_CHOP,278
2020-01-08,BL_KIT,328
2020-01-08,BL_IND,581
2020-01-08,ESP,327
2020-01-08,SW,732
2020-01-08,MX_KIT,426
2020-01-08,MX_IND,716
2020-01-09,FAN_STD,322
2020-01-09,EX_FLAT,944
2020-01-09,EX_POLY,196
2020-01-09,EX_CIRC,832
2020-01-09,AF_5,686
2020-01-09,AF_75,431
2020-01-09,BL_CHOP,768
2020-01-09,BL_KIT,794
2020-01-09,BL_IND,830
2020-01-09,ESP,766
2020-01-09,SW,338
2020-01-09,MX_KIT,880
2020-01-09,MX_IND,295
2020-01-10,FAN_STD,558
2020-01-10,EX_FLAT,372
2020-01-10,EX_POLY,779
2020-01-10,EX_CIRC,794
2020-01-10,AF_5,478
2020-01-10,AF_75,497
2020-01-10,BL_CHOP,576
2020-01-10,BL_KIT,446
2020-01-10,BL_IND,955
2020-01-10,ESP,845
2020-01-10,SW,102
2020-01-10,MX_KIT,104
2020-01-10,MX_IND,920
2020-01-11,FAN_STD,560
2020-01-11,EX_FLAT,855
2020-01-11,EX_POLY,537
2020-01-11,EX_CIRC,232
2020-01-11,AF_5,453
2020-01-11,AF_75,595
2020-01-11,BL_CHOP,938
2020-01-11,BL_KIT,620
2020-01-11,BL_IND,383
2020-01-11,ESP,669
2020-01-11,SW,677
2020-01-11,MX_KIT,981
2020-01-11,MX_IND,767
2020-01-12,FAN_STD,346
2020-01-12,EX_FLAT,656
2020-01-12,EX_POLY,201
2020-01-12,EX_CIRC,871
2020-01-12,AF_5,224
2020-01-12,AF_75,227
2020-01-12,BL_CHOP,315
2020-01-12,BL_KIT,421
2020-01-12,BL_IND,865
2020-01-12,ESP,161
2020-01-12,SW,289
2020-01-12,MX_KIT,336
2020-01-12,MX_IND,158
2020-01-13,FAN_STD,644
2020-01-13,EX_FLAT,280
2020-01-13,EX_POLY,635
2020-01-13,EX_CIRC,196
2020-01-13,AF_5,581
2020-01-13,AF_75,564
2020-01-13,BL_CHOP,606
2020-01-13,BL_KIT,145
2020-01-13,BL_IND,567
2020-01-13,ESP,844
2020-01-13,SW,439
2020-01-13,MX_KIT,826
2020-01-13,MX_IND,143
2020-01-14,FAN_STD,802
2020-01-14,EX_FLAT,504
2020-01-14,EX_POLY,905
2020-01-14,EX_CIRC,329
2020-01-14,AF_5,628
2020-01-14,AF_75,374
2020-01-14,BL_CHOP,894
2020-01-14,BL_KIT,160
2020-01-14,BL_IND,757
2020-01-14,ESP,954
2020-01-14,SW,151
2020-01-14,MX_KIT,108
2020-01-14,MX_IND,694
2020-01-15,FAN_STD,394
2020-01-15,EX_FLAT,146
2020-01-15,EX_POLY,392
2020-01-15,EX_CIRC,485
2020-01-15,AF_5,962
2020-01-15,AF_75,451
2020-01-15,BL_CHOP,436
2020-01-15,BL_KIT,846
2020-01-15,BL_IND,381
2020-01-15,ESP,973
2020-01-15,SW,480
2020-01-15,MX_KIT,434
2020-01-15,MX_IND,672
2020-01-16,FAN_STD,458
2020-01-16,EX_FLAT,204
2020-01-16,EX_POLY,167
2020-01-16,EX_CIRC,236
2020-01-16,AF_5,793
2020-01-16,AF_75,324
2020-01-16,BL_CHOP,541
2020-01-16,BL_KIT,586
2020-01-16,BL_IND,126
2020-01-16,ESP,486
2020-01-16,SW,292
2020-01-16,MX_KIT,796
2020-01-16,MX_IND,359
2020-01-17,FAN_STD,663
2020-01-17,EX_FLAT,164
2020-01-17,EX_POLY,993
2020-01-17,EX_CIRC,199
2020-01-17,AF_5,882
2020-01-17,AF_75,397
2020-01-17,BL_CHOP,155
2020-01-17,BL_KIT,697
2020-01-17,BL_IND,688
2020-01-17,ESP,943
2020-01-17,SW,693
2020-01-17,MX_KIT,101
2020-01-17,MX_IND,610
2020-01-18,FAN_STD,528
2020-01-18,EX_FLAT,674
2020-01-18,EX_POLY,274
2020-01-18,EX_CIRC,991
2020-01-18,AF_5,170
2020-01-18,AF_75,438
2020-01-18,BL_CHOP,901
2020-01-18,BL_KIT,228
2020-01-18,BL_IND,414
2020-01-18,ESP,209
2020-01-18,SW,581
2020-01-18,MX_KIT,693
2020-01-18,MX_IND,786
2020-01-19,FAN_STD,744
2020-01-19,EX_FLAT,599
2020-01-19,EX_POLY,991
2020-01-19,EX_CIRC,817
2020-01-19,AF_5,512
2020-01-19,AF_75,280
2020-01-19,BL_CHOP,345
2020-01-19,BL_KIT,226
2020-01-19,BL_IND,315
2020-01-19,ESP,110
2020-01-19,SW,190
2020-01-19,MX_KIT,377
2020-01-19,MX_IND,912
2020-01-20,FAN_STD,430
2020-01-20,EX_FLAT,732
2020-01-20,EX_POLY,289
2020-01-20,EX_CIRC,376
2020-01-20,AF_5,665
2020-01-20,AF_75,519
2020-01-20,BL_CHOP,344
2020-01-20,BL_KIT,591
2020-01-20,BL_IND,845
2020-01-20,ESP,500
2020-01-20,SW,869
2020-01-20,MX_KIT,992
2020-01-20,MX_IND,247
2020-01-21,FAN_STD,538
2020-01-21,EX_FLAT,865
2020-01-21,EX_POLY,622
2020-01-21,EX_CIRC,197
2020-01-21,AF_5,677
2020-01-21,AF_75,983
2020-01-21,BL_CHOP,478
2020-01-21,BL_KIT,784
2020-01-21,BL_IND,407
2020-01-21,ESP,732
2020-01-21,SW,636
2020-01-21,MX_KIT,240
